sample,N,C,H,S
YG077,1.0764,53.8143,6.89,0.064
QL195,2.1875,55.1766,7.555,0.096
RH047,0.5007,52.645,7.248,0.055
T169,0.871,53.6352,7.415,0.046
QL214,1.3039,56.2437,7.62,0.04
KG144,0.4044,55.1853,6.574,0.046
QL315,1.1093,53.5901,6.962,0.056
QL240,1.0329,51.8732,6.446,0.049
T189,0.422,58.4952,7.357,0.034
QL103,0.6362,52.1594,7.074,0.042
RH110,0.7106,52.7561,7.299,0.032
std (orchard leaf),1.8099,50.5263,6.683,0.065
QL054,2.3803,56.076,7.67,0.142
YG157,1.8457,53.2045,7.238,0.087
T353,0.5421,55.5566,7.581,0.062
QL086,0.9322,54.1932,7.763,0.05
T237,0.7781,51.571,7.131,0.037
QL374,1.4796,55.1439,7.531,0.078
YG207,1.0459,56.5309,7.669,0.049
YG191,0.7052,59.8462,8.431,0.045
QL248,0.8228,55.5109,7.849,0.039
QL074,2.4813,53.4053,7.024,0.082
T045,0.5062,54.1277,7.526,0.035
KG130,0.8143,52.0275,6.972,0.05
QL122,2.1574,52.7901,7.024,0.075
YG128,1.7267,53.7377,6.971,0.065
QL111,1.393,53.5613,6.949,0.066
QL115,1.4314,52.1521,6.922,0.071
QL311,0.635,55.7681,7.021,0.048
QL307,0.9219,55.271,6.685,0.047
QL304,0.8337,55.5834,6.904,0.038
QL305,0.8028,55.6391,6.763,0.047
std (orchard leaf),1.906,50.7665,6.796,0.056
QL310,0.7489,54.7924,6.832,0.042
QL114,1.8327,53.6262,7.133,0.063
QL308,0.7604,56.5034,6.941,0.049
QL106,1.4385,52.3608,6.924,0.068
YG129,1.4615,54.4336,7.064,0.057
QL329,0.9509,54.3023,6.919,0.06
QL406,0.8317,48.9472,6.499,0.057
QL398,0.726,52.7108,6.578,0.04
QL407,0.6252,49.7182,6.485,0.05
YG204,1.0435,54.5389,6.947,0.048
QL107,1.1123,52.8058,6.985,0.058
QL110,1.4325,53.2068,6.895,0.06
QL325,1.2131,52.8338,6.908,0.044
QL397,0.7407,52.3393,6.579,0.042
QL331,0.7684,53.3427,6.808,0.038
QL332,0.826,53.4513,6.846,0.051
QL226,1.4473,54.4327,7.14,0.062
QL232,1.5889,54.9776,7.194,0.066
QL328,0.9018,54.9433,6.905,0.053
QL326,0.9325,54.5285,6.942,0.052
std (orchard leaf),1.8545,50.5557,6.707,0.067
QL227,1.6021,54.2646,7.115,0.051
QL317,1.1441,53.7446,6.929,0.047
QL009,1.2602,49.5178,6.639,0.054
QL145,1.4818,52.7701,6.981,0.053
QL235,1.1228,51.1648,6.334,0.039
QL414,0.6761,49.8768,6.524,0.044
QL319,1.0015,54.5608,6.943,0.05
QL010,0.8885,49.5696,6.622,0.06
QL320,1.1532,53.9426,6.85,0.056
QL242,1.2811,52.2654,6.426,0.04
QL404,0.6444,53.976,6.832,0.037
QL005,1.3993,49.0912,6.543,0.056
QL313,1.1849,54.4516,7.102,0.051
QL228,1.5826,54.8214,7.204,0.043
YG203,1.1105,55.3618,6.772,0.04
YG170,0.8423,54.9325,6.715,0.045
YG188,0.8707,54.931,6.7,0.009
YG187,0.8654,55.1365,6.782,0.042
QL001,1.3598,49.7977,6.481,0.052
YG169,0.8653,54.5965,6.746,0.041
std (orchard leaf),1.8963,51.0638,6.558,0.062
QL238,1.1625,52.5466,6.467,0.043
QL006,1.3179,49.3643,6.481,0.07
QL002,1.229,49.778,6.542,0.087
QL233,1.4029,54.8166,6.941,0.072
QL230,1.3524,55.2882,7.054,0.031
QL415,0.8567,49.8126,6.314,0.061
QL403,0.6949,53.195,6.481,0.03
QL241,1.0559,53.3911,6.431,0.043
QL239,1.2376,52.527,6.409,0.041
QL316,1.0548,54.2894,6.805,0.012
QL314,1.3538,53.8844,6.842,0.055
QL236,1.1909,50.9657,6.088,0.017
RH056,0.8184,53.83,6.98,0.055
RH006,1.5402,53.5232,6.879,0.074
RH002,1.2101,53.2385,6.683,0.052
RH001,1.0787,53.536,6.679,0.048
RH005,1.2463,54.2485,6.959,0.059
RH010,0.9459,52.6754,6.717,0.05
RH009,0.9758,53.936,6.818,0.049
RH060,0.6619,52.7124,6.578,0.043
std (orchard leaf),1.9183,51.0259,6.517,0.043
RH055,1.3151,55.3711,7.347,0.07
RH059,1.0072,54.0109,6.971,0.036
RH064,0.8584,53.938,6.978,0.068
RH063,1.3352,54.1769,7.132,0.078
KG138,0.9421,55.4953,6.42,0.048
KG139,0.8733,55.6691,6.342,0.014
KG123,0.7827,54.9401,6.817,0.039
KG119,0.9755,54.8611,6.644,0.036
KG118,1.0184,54.4334,6.524,0.056
KG038,0.809,53.9001,6.382,0.017
KG135,0.9545,55.2303,6.721,0.051
std (orchard leaf),1.8604,50.6075,6.458,0.099
KG142,0.9238,52.7321,6.224,0.075
KG143,0.9721,52.5369,6.345,0.058
KG103,0.8411,55.3361,6.67,0.054
KG122,0.8684,54.8706,6.717,0.056
KG037,0.9089,53.6846,6.331,0.058
KG107,1.022,55.1183,6.592,0.041
KG023,0.973,56.4243,6.707,0.049
YG085,1.7838,54.0309,6.763,0.059
YG071,1.142,57.3545,7.22,0.048
YG017,1.419,54.3172,6.713,0.054
KG051,1.1374,56.827,7.008,0.045
KG078,0.8056,53.231,6.324,0.042
YG075,1.198,54.2221,6.764,0.06
KG083,1.0662,55.775,6.887,0.043
YG020,1.6241,54.1822,6.467,0.052
KG102,0.8071,55.5945,6.776,0.042
KG050,0.9029,55.4619,6.713,0.031
KG079,0.8951,53.266,6.402,0.04
KG106,0.9864,54.9876,6.662,0.041
YG055,1.0266,54.7894,6.695,0.045
std (orchard leaf),1.8622,50.3845,6.527,0.06
KG082,1.1368,55.0697,6.747,0.049
KG134,1.0343,54.5106,6.662,0.039
YG076,1.5906,52.5296,6.547,0.048
YG081,1.2481,53.1654,6.566,0.048
YG018,0.97,54.2138,6.819,0.033
KG024,0.9855,56.256,6.876,0.04
YG082,1.3526,53.694,6.777,0.052
YG044,1.1171,54.2448,6.873,0.035
YG084,1.4533,55.2546,6.8,0.056
YG124,1.2058,54.656,6.595,0.03
YG070,1.1826,56.9427,7.159,0.051
YG125,1.0697,54.9344,6.656,0.037
YG043,1.6282,53.755,6.61,0.054
YG021,1.4833,53.6306,6.595,0.062
YG056,1.5502,55.2802,6.767,0.045
T331,1.3189,55.4194,7.234,0.053
T336,1.1776,55.0208,7.3,0.037
T340,1.316,55.0989,7.277,0.054
T014,0.7338,57.6149,7.357,0.013
T058,1.3008,55.2969,7.175,0.05
std (orchard leaf),1.868,50.4071,6.603,0.062
T335,1.1387,54.9258,7.236,0.051
T241,2.0456,53.0724,7.017,0.08
T319,1.3649,53.6797,6.688,0.058
T401,1.2453,57.5009,7.532,0.048
T327,1.3496,56.2986,7.49,0.054
T324,1.1112,56.183,7.144,0.051
T339,1.2794,54.7755,7.254,0.056
T328,1.2083,58.0986,7.803,0.056
T320,1.1284,55.3577,7.11,0.059
T246,1.2604,52.8412,6.936,0.052
T154,0.9812,56.578,7.107,0.035
T054,1.6204,54.5644,7.21,0.038
T381,1.3537,54.4914,7.098,0.05
T380,1.5367,54.077,7.064,0.054
T018,1.111,56.6537,7.185,0.037
QL452,0.6809,53.543,6.788,0.032
QL411,0.9585,49.1302,6.287,0.044
T323,0.9032,59.2286,7.781,0.04
QL449,0.9581,52.3323,6.704,0.02
QL451,0.8768,53.2097,6.773,0.039
std (orchard leaf),1.8661,50.4772,6.606,0.054
QL410,0.7244,49.9609,6.396,0.034
QL448,0.9445,52.5537,6.657,0.032
T242,1.1849,54.2836,6.696,0.09
T377,1.3883,53.9532,6.83,0.064
QL401,0.7093,53.095,6.318,0.039
T153,1.2366,55.1715,6.763,0.052
T152,1.1206,52.0824,6.525,0.046
T245,1.2821,53.5012,6.836,0.052
T146,1.0454,57.0336,7.005,0.044
QL400,0.6982,53.3499,6.419,0.019
T373,2.4135,54.7077,7.046,0.068
T165,0.8326,57.004,6.992,0.03
T166,0.7199,59.5711,7.451,0.03
T053,1.7675,54.4258,6.761,0.044
T161,1.0682,58.2811,7.344,0.022
T057,1.502,54.2668,6.798,0.038
T226,1.3158,57.6084,7.521,0.04
T249,0.9969,54.22,6.923,0.015
T405,1.1339,58.1489,7.476,0.041
T406,1.0413,58.4872,7.606,0.028
std (orchard leaf),1.8219,50.1091,6.433,0.049
T225,1.2748,57.2656,7.451,0.044
T022,1.2346,58.6403,7.496,0.026
T021,1.4693,56.5275,7.2,0.038
T162,0.9012,57.3098,7.176,0.036
T158,0.6046,55.6702,6.823,0.029
T150,0.8764,56.3898,6.709,0.031
T050,1.56,53.4296,6.728,0.03
T049,1.4391,54.1979,6.834,0.042
T013,1.1474,58.8703,7.559,0.019
T218,1.1102,57.765,7.593,0.04
T017,1.2251,59.3983,7.696,0.031
std (orchard leaf),1.8844,50.3393,6.472,0.077
T217,1.2094,57.0416,7.574,0.077
T397,1.3393,56.9445,7.419,0.07
T398,1.0334,58.4077,7.799,0.047
T372,2.2378,54.2342,7.314,0.063
T250,1.4103,53.7861,7.138,0.041
T332,1.0421,55.1653,7.215,0.038
T222,1.3008,56.763,7.65,0.042
T221,1.3212,55.8713,7.609,0.036
T402,1.2923,56.6702,7.568,0.031
T376,2.3398,54.9053,7.345,0.049
T145,1.159,56.0693,7.338,0.025
T149,0.9252,57.6245,7.326,0.02
RH096,0.9614,54.4085,7.485,0.035
QL131,1.3079,53.0248,6.964,0.033
RH097,0.587,56.19,7.353,0.027
RH098,0.5019,55.9895,7.379,0.04
RH099,0.762,54.0793,7.356,0.032
RH100,0.6901,53.5419,7.271,0.037
RH102,0.9138,54.3864,7.486,0.057
RH101,0.6404,53.5863,7.198,0.043
std (orchard leaf),1.871,50.666,6.783,0.038
QL148,1.552,53.0004,6.928,0.042
QL149,1.2443,52.8596,6.769,0.036
RH117,1.5053,54.8811,7.341,0.04
RH103,0.8262,55.2478,7.475,0.082
RH104,0.8483,54.2863,7.279,0.092
QL146,1.7178,51.6401,6.824,0.042
RH118,1.4218,51.8592,6.832,0.05
RH120,1.4911,54.1268,7.273,0.043
RH121,1.0834,52.6629,6.951,0.028
RH119,1.3155,52.1872,6.823,0.044
QL133,1.1268,54.0679,7.015,0.025
QL142,1.6623,52.2829,6.986,0.027
RH123,1.4422,53.1377,7.032,0.037
RH122,0.8847,54.7985,7.14,0.019
RH124,0.9802,52.3394,6.854,0.031
QL135,1.3425,54.488,7.072,0.025
QL137,1.3871,53.233,7.092,0.031
QL141,1.3285,52.1004,6.798,0.025
QL170,1.1335,54.3271,6.95,0.027
QL175,1.1619,54.0362,6.768,0.032
std (orchard leaf),1.8769,50.5821,6.893,0.041
QL153,0.7696,52.8125,6.808,0.037
QL143,1.5391,51.4423,6.926,0.031
QL185,1.225,54.3522,6.967,0.029
QL130,1.302,52.4608,6.861,0.034
QL171,1.0635,54.2926,6.982,0.028
QL140,1.745,51.8052,6.82,0.042
QL186,0.8888,53.3247,6.752,0.018
QL155,1.0623,50.5085,6.77,0.036
QL151,0.9395,52.258,6.841,0.023
QL134,0.9969,53.9257,7.017,0.02
QL132,1.3135,51.7935,6.85,0.035
T157,1.1909,55.5044,7.35,0.014
QL184,1.0155,54.252,6.81,0.026
QL136,1.5072,52.661,7.065,0.037
QL173,1.0711,54.2429,6.776,0.029
RH125,0.9282,54.6249,7.22,0.028
QL172,1.1253,53.8183,6.803,0.025
QL150,1.1532,53.994,6.967,0.036
QL156,0.9287,51.9822,6.779,0.026
QL154,1.0566,52.0495,6.832,0.026
std (orchard leaf),1.8808,50.534,6.801,0.036
QL139,1.8134,51.525,6.841,0.042
QL174,1.0472,53.8119,6.647,0.02
QL454,0.9378,52.6099,6.895,0.031
QL144,1.4452,51.5227,6.762,0.034
QL455,1.0908,53.4736,6.942,0.02
QL138,1.2833,52.8589,6.931,0.033
T244,0.6083,54.2668,6.972,0.017
T251,1.1442,54.3681,7.107,0.018
T056,0.4058,56.2457,7.466,0.011
T325,0.6869,55.407,7.205,0.023
T224,0.3442,58.0685,7.735,0.011
T220,0.3433,57.2954,7.62,0.013
T159,0.7486,55.5693,7.202,0.019
T399,0.6936,56.8134,7.428,0.019
T248,0.5317,52.9899,6.558,0.014
T252,0.7479,53.4663,6.88,0.018
T407,0.7549,58.3904,7.756,0.021
T321,1.0124,54.9775,7.15,0.029
T337,0.8092,53.7376,7.025,0.019
T148,0.3613,57.1874,6.971,0.077
std (orchard leaf),1.9666,50.7567,6.545,0.095
T228,0.4236,57.6814,7.346,0.061
T382,1.5539,54.0902,6.911,0.084
T227,1.3751,57.2366,7.485,0.065
T378,1.5548,55.2793,7.078,0.082
T329,0.5974,57.7189,7.665,0.061
T243,1.2076,53.6346,6.719,0.066
T060,0.4265,56.3242,7.08,0.047
YG023,0.6242,56.9494,6.757,0.049
KG022,0.931,54.9345,6.555,0.05
KG133,0.7813,54.5127,6.639,0.051
KG120,0.3734,54.8855,6.657,0.051
std (orchard leaf),1.9627,50.716,6.556,0.055
RH007,1.1543,52.6695,6.633,0.06
RH003,1.173,51.6375,6.509,0.056
YG080,0.7771,53.8778,6.558,0.037
YG074,1.4671,53.6883,6.688,0.061
RH058,0.4192,53.4042,6.775,0.043
KG021,0.4146,55.8853,6.545,0.038
YG057,0.506,56.7471,7.073,0.032
RH054,0.5639,54.0759,7.018,0.054
KG141,1.0467,53.0808,6.416,0.05
YG022,0.9748,53.973,6.475,0.053
RH057,0.8382,53.39,6.998,0.05
KG136,0.3917,54.4548,6.115,0.038
YG019,0.8985,53.3334,6.672,0.043
KG039,0.4079,53.7408,6.294,0.028
YG016,0.6149,53.0185,6.067,0.038
RH011,0.8746,51.2784,6.542,0.05
RH061,0.695,53.1254,6.767,0.038
KG116,0.4485,54.2653,6.382,0.045
KG132,0.5002,54.9291,6.626,0.041
RH008,0.9672,57.5075,7.66,0.046
std (orchard leaf),1.9158,50.6004,6.564,0.051
KG121,0.8135,54.4178,6.736,0.039
KG104,0.4573,54.0665,6.504,0.039
KG140,0.4121,53.684,6.379,0.032
YG045,1.0003,53.9829,6.627,0.043
KG048,0.3259,56.8848,6.902,0.038
KG137,0.8736,54.1044,6.437,0.028
RH065,0.977,53.4533,6.945,0.045
YG083,0.574,55.0729,6.9,0.035
QL309,0.881,55.1617,6.397,0.028
QL012,0.5161,49.2377,6.422,0.045
QL385,0.3383,52.0637,6.259,0.033
KG036,0.7969,53.1239,6.364,0.026
YG168,0.9066,53.7584,6.493,0.037
QL333,0.6541,53.389,6.554,0.041
QL450,0.9346,52.2191,6.605,0.029
YG122,1.0906,54.6676,6.629,0.039
YG072,1.1234,56.3539,7.079,0.032
QL302,0.4561,55.8644,6.273,0.032
QL323,0.4276,53.7797,6.579,0.04
YG123,0.9149,54.6688,6.635,0.028
std (orchard leaf),1.8992,50.2967,6.543,0.059
YG073,1.584,54.6079,6.779,0.065
QL417,0.3675,49.0712,6.077,0.049
YG167,0.3435,54.24,6.391,0.029
YG186,0.8868,54.8688,6.652,0.037
QL225,1.4353,55.3973,6.999,0.057
YG086,1.2158,53.9889,6.765,0.051
QL303,0.4629,53.5782,6.195,0.035
YG201,0.4772,54.7714,6.595,0.029
YG202,0.5973,55.3851,6.807,0.035
YG185,0.3325,54.6217,6.501,0.026
QL327,0.8566,52.9732,6.605,0.025
QL221,0.4602,50.7371,6.001,0.029
QL008,0.5167,49.5652,6.398,0.04
YG127,1.13,53.7216,6.71,0.036
QL416,0.5938,49.1199,6.142,0.044
QL224,0.7738,54.8062,6.893,0.036
QL007,1.0622,48.2665,6.336,0.046
QL386,0.2856,52.3391,6.431,0.032
QL113,0.5951,53.5668,6.73,0.039
QL447,0.3202,52.3218,6.534,0.024
std (orchard leaf),1.8679,50.3174,6.494,0.051
QL109,0.7752,51.5013,6.442,0.05
QL301,0.5279,55.2106,6.163,0.033
QL387,0.343,52.9569,6.343,0.014
QL405,0.6814,52.7533,6.291,0.036
QL108,0.9356,51.6109,6.577,0.043
QL229,1.6508,53.3499,6.711,0.036
QL399,0.7761,52.2959,6.295,0.035
QL004,0.6871,49.3086,6.424,0.06
QL116,0.8475,53.856,6.79,0.137
QL112,1.2311,52.0501,6.578,0.118
QL231,1.3099,54.3406,7.02,0.113
QL312,0.5805,54.126,6.363,0.093
QL330,1.0993,54.016,6.698,0.102
QL413,0.5372,49.5813,6.273,0.079
QL234,1.5144,54.644,7.086,0.094
QL412,0.9985,49.2675,6.34,0.095
YG126,0.5137,55.1487,6.752,0.078
QL409,0.4831,50.6465,6.376,0.073
QL220,0.5646,51.6015,6.023,0.064
QL223 ?,0.9187,53.6157,6.672,0.087
std (orchard leaf),1.9516,50.5339,6.627,0.084
QL306,0.8706,54.4511,6.415,0.075
QL117,0.4174,54.5009,6.86,0.074
QL408,0.6728,50.517,6.531,0.068
QL003,1.282,48.811,6.488,0.082
QL222,0.4967,49.5424,6.072,0.06
QL011,1.0046,49.252,6.592,0.069
T020,0.5731,58.1674,7.418,0.056
T219,1.4517,55.0592,7.405,0.082
T155,0.9095,56.8801,7.192,0.053
T152,0.3232,58.0827,7.255,0.044
T160,0.3455,57.6312,7.16,0.031
std (orchard leaf),1.969,50.9271,6.648,0.072
T168,0.3231,56.5433,6.971,0.035
T223,1.0415,57.826,7.652,0.053
T024,0.3224,57.5759,7.059,0.035
T151,0.7508,56.6634,6.865,0.048
T156,0.325,57.8379,7.15,0.038
T374,1.0964,53.767,6.859,0.038
QL453,0.7479,53.4124,6.799,0.052
T167,0.658,56.7784,7.046,0.032
T023,0.7271,57.9773,7.282,0.037
QL446,0.3151,53.229,6.708,0.038
T015,0.8754,57.8749,7.355,0.043
QL456,1.0736,53.1167,6.715,0.053
T403,0.9248,56.2135,7.284,0.052
T055,1.3039,56.2703,7.373,0.051
T016,0.3274,57.772,7.108,0.024
T051,1.4253,54.1358,7.106,0.052
T019,0.6163,56.9915,7.099,0.028
T052,0.425,56.3403,7.18,0.042
T059,1.2098,55.0597,7.083,0.036
T147,0.9308,56.6003,7.212,0.048
std (orchard leaf),1.925,50.657,6.663,0.064
QL402,0.7319,52.2771,6.607,0.042
T163,0.6449,57.745,7.452,0.044
T164,0.3518,58.6907,7.395,0.034
T247,1.4431,52.2459,6.822,0.051
QL445,0.3367,51.9291,6.571,0.029
YG079,0.3208,54.4888,6.525,0.035
RH062,0.5871,53.3492,6.96,0.054
KG105,0.8726,52.7868,6.404,0.049
KG117,0.6587,52.7627,6.279,0.056
YG042,0.6219,55.0404,6.851,0.037
KG081,1.031,54.6752,6.647,0.051
KG100,0.34,55.2678,6.688,0.035
KG077,0.7775,52.2608,6.278,0.054
KG076,0.4002,54.1838,6.17,0.04
T400,0.4125,57.9613,7.329,0.032
T341,1.0501,55.0608,7.09,0.044
KG049,0.9345,55.9136,6.899,0.045
T383,0.4757,55.3863,6.986,0.042
KG080,0.4704,55.609,6.454,0.036
T330,0.3441,56.7129,7.447,0.036
std (orchard leaf),1.9072,50.6283,6.623,0.056
T408,0.2203,60.8365,7.915,0.038
YG054,0.6886,54.2561,6.64,0.04
T333,1.0241,55.6202,7.076,0.045
KG101,0.8047,55.0235,6.729,0.033
T338,0.4187,54.8044,6.92,0.038
T342,0.4306,55.4566,7.008,0.039
T379,0.5964,54.7443,7.014,0.025
RH012,0.5393,57.3341,7.601,0.04
T322,0.3966,54.9247,6.842,0.037
T404,0.2641,57.7706,7.4,0.032
YG069,0.5736,56.1556,6.917,0.036
T375,0.673,54.041,6.904,0.042
T326,0.4902,55.1849,6.687,0.046
T334,0.4323,55.0219,6.829,0.039
RH004,0.5276,53.0632,6.811,0.021
std (orchard leaf),1.9163,50.4551,6.542,0.057
YG121,1.5299,54.613,7.292,0.076
YG120,1.4169,54.4575,7.196,0.07
YG134,0.3769,56.1309,7.283,0.055
YG118,1.0718,55.0845,7.328,0.071
YG119,0.5593,55.8791,7.272,0.032
YG135,0.8639,54.477,7.088,0.039
